spark.default.parallelism,batchInterval,spark.executor.cores,spark.executor.memory,spark.shuffle.compress,spark.streaming.blockInterval,time
1,1,1,16,False,1,0.127
1,1,1,16,False,1,0.126
1,1,1,16,False,1,0.131
1,1,1,16,False,1,0.137
1,1,1,16,False,1,0.142
1,1,1,16,False,1,0.128
1,1,1,16,False,1,0.126
1,1,1,16,False,1,0.149
1,1,1,16,False,1,0.144
1,1,1,16,False,1,0.126
1,1,1,16,False,1,0.125
1,1,1,16,False,1,0.129
1,1,1,16,False,1,0.157
1,1,1,16,False,1,0.122
1,1,1,16,False,1,0.127
1,1,1,16,False,1,0.195
1,1,1,16,False,1,0.16
1,1,1,16,False,1,0.126
1,1,1,16,False,1,0.122
1,1,1,16,False,1,0.198
1,1,1,16,False,1,0.123
1,1,1,16,False,1,0.205
1,1,1,16,False,1,0.15
1,1,1,16,False,1,0.123
1,1,1,16,False,1,0.22
1,1,1,16,False,1,0.115
1,1,1,16,False,1,0.208
1,1,1,16,False,1,0.112
1,1,1,16,False,1,1.171
1,1,1,16,False,1,0.146
1,1,1,16,False,1,0.201
1,1,1,16,False,1,0.185
1,1,1,16,False,1,0.128
1,1,1,16,False,1,0.212
1,1,1,16,False,1,0.126
1,1,1,16,False,1,0.202
1,1,1,16,False,1,0.117
1,1,1,16,False,1,0.211
1,1,1,16,False,1,0.112
1,1,1,16,False,1,0.121
1,1,1,16,False,1,0.191
1,1,1,16,False,1,0.12
1,1,1,16,False,1,1.198
1,1,1,16,False,1,0.143
1,1,1,16,False,1,0.209
1,1,1,16,False,1,0.114
1,1,1,16,False,1,0.127
1,1,1,16,False,1,0.213
1,1,1,16,False,1,0.128
1,1,1,16,False,1,0.318
1,1,1,16,False,1,0.144
1,1,1,16,False,1,0.243
1,1,1,16,False,1,0.124
1,1,1,16,False,1,0.218
1,1,1,16,False,1,0.127
1,1,1,16,False,1,0.125
1,1,1,16,False,1,0.206
1,1,1,16,False,1,0.121
1,1,1,16,False,1,0.203
1,1,1,16,False,1,0.146
1,1,1,16,False,1,0.266
1,1,1,16,False,1,0.126
1,1,1,16,False,1,0.266
1,1,1,16,False,1,0.285
1,1,1,16,False,1,0.156
1,1,1,16,False,1,0.49
1,1,1,16,False,1,0.148
1,1,1,16,False,1,0.407
1,1,1,16,False,1,0.121
1,1,1,16,False,1,1.187
1,1,1,16,False,1,1.041
1,1,1,16,False,1,0.228
1,1,1,16,False,1,0.264
1,1,1,16,False,1,0.263
1,1,1,16,False,1,1.242
1,1,1,16,False,1,0.156
1,1,1,16,False,1,1.211
1,1,1,16,False,1,0.159
1,1,1,16,False,1,0.358
1,1,1,16,False,1,0.25
1,1,1,16,False,1,0.157
1,1,1,16,False,1,1.262
1,1,1,16,False,1,0.156
1,1,1,16,False,1,0.294
1,1,1,16,False,1,0.134
1,1,1,16,False,1,1.331
1,1,1,16,False,1,1.181
1,1,1,16,False,1,0.156
1,1,1,16,False,1,1.43
1,1,1,16,False,1,1.066
1,1,1,16,False,1,2.204
1,1,1,16,False,1,1.071
1,1,1,16,False,1,0.154
1,1,1,16,False,1,1.357
1,1,1,16,False,1,1.043
1,1,1,16,False,1,1.357
1,1,1,16,False,1,0.131
1,1,1,16,False,1,2.26
1,1,1,16,False,1,0.43
1,1,1,16,False,1,2.861
1,1,1,16,False,1,2.265
1,1,1,16,False,1,1.199
1,1,1,16,False,1,1.062
