spark.default.parallelism,batchInterval,spark.executor.cores,spark.executor.memory,spark.shuffle.compress,spark.streaming.blockInterval,time
1,1,1,16,False,1,0.115
1,1,1,16,False,1,0.119
1,1,1,16,False,1,0.152
1,1,1,16,False,1,0.126
1,1,1,16,False,1,0.11
1,1,1,16,False,1,1.1
1,1,1,16,False,1,0.121
1,1,1,16,False,1,0.115
1,1,1,16,False,1,0.088
1,1,1,16,False,1,1.113
1,1,1,16,False,1,0.127
1,1,1,16,False,1,0.119
1,1,1,16,False,1,0.121
1,1,1,16,False,1,0.116
1,1,1,16,False,1,0.12
1,1,1,16,False,1,0.157
1,1,1,16,False,1,0.122
1,1,1,16,False,1,0.151
1,1,1,16,False,1,0.107
1,1,1,16,False,1,0.113
1,1,1,16,False,1,0.123
1,1,1,16,False,1,0.183
1,1,1,16,False,1,1.038
1,1,1,16,False,1,0.117
1,1,1,16,False,1,0.203
1,1,1,16,False,1,0.109
1,1,1,16,False,1,0.195
1,1,1,16,False,1,0.112
1,1,1,16,False,1,0.198
1,1,1,16,False,1,0.166
1,1,1,16,False,1,0.114
1,1,1,16,False,1,0.266
1,1,1,16,False,1,0.142
1,1,1,16,False,1,0.295
1,1,1,16,False,1,0.11
1,1,1,16,False,1,0.157
1,1,1,16,False,1,0.203
1,1,1,16,False,1,0.117
1,1,1,16,False,1,0.205
1,1,1,16,False,1,0.117
1,1,1,16,False,1,0.272
1,1,1,16,False,1,0.119
1,1,1,16,False,1,0.121
1,1,1,16,False,1,0.187
1,1,1,16,False,1,0.119
1,1,1,16,False,1,2.13
1,1,1,16,False,1,0.109
1,1,1,16,False,1,0.236
1,1,1,16,False,1,0.146
1,1,1,16,False,1,0.146
1,1,1,16,False,1,0.186
1,1,1,16,False,1,0.115
1,1,1,16,False,1,0.228
1,1,1,16,False,1,1.043
1,1,1,16,False,1,0.15
1,1,1,16,False,1,0.209
1,1,1,16,False,1,0.111
1,1,1,16,False,1,0.203
1,1,1,16,False,1,0.15
1,1,1,16,False,1,0.188
1,1,1,16,False,1,0.136
1,1,1,16,False,1,0.162
1,1,1,16,False,1,0.206
1,1,1,16,False,1,0.117
1,1,1,16,False,1,0.195
1,1,1,16,False,1,0.11
1,1,1,16,False,1,0.188
1,1,1,16,False,1,0.124
1,1,1,16,False,1,0.192
1,1,1,16,False,1,0.204
1,1,1,16,False,1,0.118
1,1,1,16,False,1,0.212
1,1,1,16,False,1,0.146
1,1,1,16,False,1,2.199
1,1,1,16,False,1,1.122
1,1,1,16,False,1,0.17
1,1,1,16,False,1,1.246
1,1,1,16,False,1,0.145
1,1,1,16,False,1,0.249
1,1,1,16,False,1,0.233
1,1,1,16,False,1,1.248
1,1,1,16,False,1,0.114
1,1,1,16,False,1,0.194
1,1,1,16,False,1,0.262
1,1,1,16,False,1,0.152
1,1,1,16,False,1,0.361
1,1,1,16,False,1,0.117
1,1,1,16,False,1,1.176
1,1,1,16,False,1,0.145
1,1,1,16,False,1,1.415
1,1,1,16,False,1,0.118
1,1,1,16,False,1,1.384
1,1,1,16,False,1,0.17
1,1,1,16,False,1,0.251
1,1,1,16,False,1,2.147
1,1,1,16,False,1,0.182
1,1,1,16,False,1,2.128
1,1,1,16,False,1,0.141
1,1,1,16,False,1,1.235
1,1,1,16,False,1,1.062
1,1,1,16,False,1,1.241
1,1,1,16,False,1,0.135
1,1,1,16,False,1,0.503
1,1,1,16,False,1,1.418
1,1,1,16,False,1,1.367
1,1,1,16,False,1,1.237
1,1,1,16,False,1,2.779
1,1,1,16,False,1,0.836
1,1,1,16,False,1,1.302
1,1,1,16,False,1,0.604
1,1,1,16,False,2,0.127
